Manufacturer,Representative,Product_Description
Dry Cooler,Carrier West – Lohmiller & Company,"Dry Coolers, chillers, cooling tower"
Embraco,Carrier West – Lohmiller & Company,Refrigeration Compressors andCondensing Units
Essick,Carrier West – Lohmiller & Company,Evaporative cooling units
First Company,Carrier West – Lohmiller & Company,Fan Coils and Packaged Air Handling Units
Global Plasma Solutions,Carrier West – Lohmiller & Company,Needle Point Bi-Polar Ionization
Honeywell,Carrier West – Lohmiller & Company,Controls
Hydro Therm,Carrier West – Lohmiller & Company,High efficiency boilers
IES,Carrier West – Lohmiller & Company,Evaporative cooling units
J P Environmental,Carrier West – Lohmiller & Company,"Sound attenuators, acoustical enclosure"
J&J Register,Carrier West – Lohmiller & Company,"Grilles, registers and diffusers"
John Guest,Carrier West – Lohmiller & Company,Speed fit plumbing fittings
King Electrical Manufacturing,Carrier West – Lohmiller & Company,"Electric heating: cabinet, unit, comfort heating"
Lexton Fans,Carrier West – Lohmiller & Company,Ceiling exhaust fans
LG Electronics,Carrier West – Lohmiller & Company,Ductless split systems
Lochinvar,Carrier West – Lohmiller & Company,Water Heaters
LRC Coil,Carrier West – Lohmiller & Company,Refrigeration Coils
Magic-Aire,Carrier West – Lohmiller & Company,"Fan coils: horizontal, vertical, rooftop units; Unit ventilators"
Micrometl,Carrier West – Lohmiller & Company,Energy recovery units; vibration isolation curbs.
Modine,Carrier West – Lohmiller & Company,"Make Up Air—Direct and Indirection Fired; Cabinet, Unit Duct, Evaporative Cooling; Terminal heat trans"
Movex,Carrier West – Lohmiller & Company,Lab and vehicle exhaust systems
Multiaqua,Carrier West – Lohmiller & Company,"Fan coils, small capacity, modular air-cooled chillers."
New Yorker Boiler,Carrier West – Lohmiller & Company,Standard efficiency cast iron boilers
Noise Control Products,Carrier West – Lohmiller & Company,Sound attenuators & enclosures
NTI Boilers,Carrier West – Lohmiller & Company,High efficiency boilers
Panasonic Fans,Carrier West – Lohmiller & Company,Ceiling Exhaust Fans
Plate Concepts,Carrier West – Lohmiller & Company,Plate & head exchangers
Powercold,Carrier West – Lohmiller & Company,Evaporative condensers
Redd-i,Carrier West – Lohmiller & Company,"Custom air handling units; Air curtains; Electric heating: cabinet, unit, comfort heating; Infrared heating"
Renewaire,Carrier West – Lohmiller & Company,Energy recovery ventilators
Re-Verber-ray,Carrier West – Lohmiller & Company,Infrared radiant heat
RFG,Carrier West – Lohmiller & Company,IAQ-Photohydrionization air purification system
Russell,Carrier West – Lohmiller & Company,Low Temp Refrigeration
Schwank,Carrier West – Lohmiller & Company,Infrared gas heaters
Siemens,Carrier West – Lohmiller & Company,Controls replacement parts; Variable frequency drives
Siemens/Staefa Talon,Carrier West – Lohmiller & Company,Direct digital control systems
Solar & Palau,Carrier West – Lohmiller & Company,"Centrifugal fans, utility sets; Gravity roof &penthouse ventilators; Prop and vane/axial fans;Ceiling exhaust, in-line cabinet and transfer fans;Filtered supply fans"
Taco,Carrier West – Lohmiller & Company,"Pumps, Valves, Controls and Heat Exchangers Team Custom air handling units"
Thermaflex,Carrier West – Lohmiller & Company,Flexible duct
Unico,Carrier West – Lohmiller & Company,"Fan coils, high velocity, small ductwork"
United Enertech,Carrier West – Lohmiller & Company,Back draft and control dampers; Fire and some dampers; Louvers
Van Paker,Carrier West – Lohmiller & Company,Flue Positive Pressure and Condensing Boiler Flue; Grease Duct and Free Standing Exhaust Flue
Venstar,Carrier West – Lohmiller & Company,Controls
Vent Aire,Carrier West – Lohmiller & Company,Vehicle Exhaust Systems
Warren,Carrier West – Lohmiller & Company,Electric duct heaters
Yogogawa,Carrier West – Lohmiller & Company,Refrigerant monitors
AAF International Inc,CFM Company,"Air Filters, HEPA Filter Modules, Fan Powered HEPAs, Dust Collectors"
ABB,CFM Company,Variable Frequency Drives
Accurex,CFM Company,"Commercial Kitchen Hoods, Energy Management Controls, Fire Suppression Systems, Utility Distribution Systems, Pollution Control Units, Pre-Fabricated Grease Duct, Exhaust Fans, Make-Up Air Units"
Company,CFM Company,Products/Services
AeroTech Manufacturing Co,CFM Company,Hydronic Radiant Ceiling Panels – Heating &Cooling
Air Concepts Inc,CFM Company,"Air Nozzles, Round Directional Grilles, Punkah Grilles, Drum Louvres"
Air Mate Selkirk,CFM Company,"Residential Grilles, Registers, Diffusers"
Alfa – Laval,CFM Company,"Plate & Frame Heat Exchange, Brazed Plate Heat Exchangers, Condensers, Water Cooled Heat Exchangers"
Amber/Booth-VMC,CFM Company,"Vibration Isolation, Vibration Control, Seismic Restraints, Floating Floors"
ANTEC Controls – by Price Industries,CFM Company,"Venturi Valves, Laboratory Room Controls, Fume Controls, Critical Controls"
AQC Dust Collecting Systems,CFM Company,"Dust Collection Systems, Source Capture Equipment, Fume Arms, Hose Reels, Portable Dust Collection"
Armstrong Monitoring,CFM Company,Gas Detection Systems
Armstrong Pumps Inc,CFM Company,"Centrifugal Pumps, HVAC Pumping Systems, Hydronic Expansion Products, Air Control & Specialty Products, Shell & Tube Heat Exchangers, Packaged HVAC Pumping Systems, Flo-Trex Combination Valves, Pump Suction Diffusers, Air Separators, Pump & Plant Controls"
Baltimore Aircoil Company (BAC),CFM Company,"Evaporative Condensers, Closed Circuit Cooling Towers, Factory Built Cooling Towers, Ice Storage Tanks & Ice Coils for Field Erected Thermal Storage Systems"
Berko,CFM Company,"Electric Resistance Comfort Heating Products, Electric Infrared Heat, Electric Radiant Panels"
BLC Industries,CFM Company,"Automatic Roll Filters, Side Service Filter Housing, ASHRAE HEPA Filters"
Blender Products,CFM Company,Engineering Air Mixing Systems & Equipment
Bromic Heating USA,CFM Company,Electric & Propane Patio Heating Product
Climate by Design International,CFM Company,"Desiccant Dehumidification Systems, OutsideAir Preconditioners, Low Dew Point Air Handling Units"
CCSolutions – Composite Cooling Solutions,CFM Company,"Pultruded Composite Counterflow Crossflow, Concrete Structural & Architectural Cooling Towers, Services Include Design/Engineering & Construction"
CFM Technologies,CFM Company,ABB – Variable Frequency Drive Start-Up
Containment Tech Corporation,CFM Company,"Bag-In/Bag-Out Filter Housings, V-Bed Carbon Absorbers, Skid Mounted Systems, Bubble Tight Isolation Dampeners"
Data Aire Inc,CFM Company,"Floor Mounted or Horizontal DX/Water Cooler Computer Room Air Conditioning, Remote Condensers & Fluid Coolers, Rack & Row Cooling Solutions"
Company/Brand,CFM Company,Products/Services
Desert Aire,CFM Company,"Indoor Pool Systems, Dedicated Outdoor Air Systems, Dehumidification Systems, Indoor Grow Systems"
Dri-Steem Humidifier,CFM Company,"Humidifier (Steam Injection, Electric, Gas, Steam-to-Steam, Liquid-to-Steam & Ultrasorb), Condensate Coolers"
DuctSox,CFM Company,"Fabric Air Dispersion Products, Laboratory Ventilation Products, Underfloor Distribution Products"
Dunham Bush,CFM Company,"Water Cooled & Air Cooled Chillers, Air Handling Units, Packaged DX Rooftop Units"
Dynamic Air Quality Solutions,CFM Company,Electrically Charged Filtration Systems & Carbon Matrix Filter Systems
Enervex,CFM Company,"Draft Equipment, Chimney Fans, Combustion Air Systems, Dryer Venting Systems"
FanAm Inc,CFM Company,Polypropylene Fans
Flow Control Incorporated,CFM Company,"Delta P Valves, Pressure Independent, Hydronic Control Valves"
Flexmaster,CFM Company,Spin-In Fittings & High-Low Pressure Flexible Duct
Governair,CFM Company,"Custom Air Handlers, Custom Penthouse Systems, Evaporative-Cooled Chillers & Packaged Air Handling Unit, Fanwall Technology"
Greenheck,CFM Company,"Fire Dampers, Smoke Dampers, Combination Fire/Smoke Dampers, Manual Dampers, Control Dampers, Backdraft Dampers, Ressure Relief Dampers, Flue Gas Isolation Dampers, Louvres, Louvered Penthouses, Gravity Hoods, Powered Roof Ventilators, Propeller Fans, Centrifugal &Industrial Fans, Tube Axial Fans, Vane Axial Fans, Industrial Application Fans, Direct/Indirect Gas Fired Make-Up Aire Units, Kitchen Ventilation Systems, Energy Recovery Units, VEKTOR Laboratory Exhaust Systems, Standard Motor Starters"
Greenheck,CFM Company,"Commercial Kitchen Hoods, Energy Management Controls, Fire Suppression Systems, Utility Distribution Systems, Pollution Control Units, Pre-Fabricated Grease Duct, Exhaust Fans, Make-Up Aire Units"
Greenheck,CFM Company,"High Volume Low Speed (HVLS) Fans, Large Destratification Fans, Fan Controls, Solar Powered High Volume Low Speed (HVLS) Fans"
H&C Flex,CFM Company,Commercial & Residential Flex Duct
Hansentek,CFM Company,Fire Protection & Fire Suppression for Duct Collection Systems
Hart & Cooley,CFM Company,"Commercial & Residential Grilles, Registers, Diffusers"
Company,CFM Company,Products/Services
HeatFab,CFM Company,AL29-4C Flue Pipe
Huntair,CFM Company,"Custom Air Handlers, Cleanroom Systems, Operating Room Systems, Fan Upgrade & Retrofits, Fanwall Technology"
IMI – Flow Designs Inc,CFM Company,"Automatic Flow Control Valves, Manual Flow Control Valves, Valve Piping Packages"
Indeeco,CFM Company,"Open Element & Finned Tubular Electric Duct Coils, Explosion Proof Electric Duct Coils, Explosion Proof Electric Unit Heaters, Electric Boilers, Electric Resistance Heating Products – Comfort Heat"
Industrial Combustion,CFM Company,"Burners for Cast Iron Sectional Boilers, Firebox, Commercial Water tube, Firetube, Furnace & Oven Applications"
KEES Inc,CFM Company,"Security Products, Access Doors"
Magic-Aire,CFM Company,"Classroom Unit Ventilators (Vertical, Horizontal, & Self-Contained)"
Mammoth,CFM Company,"Packaged DX & Evaporative Condensing Rooftop Units, Cooled & Evaporative Condensing Chillers, Standard & Ground Source Heat Pumps, Custom Penthouses, Fan wall Technology"
Masterduct,CFM Company,Industrial High-Low Pressure Flexible Ducs
Monoxivent – FRP Solutions,CFM Company,Underground Fiberglass Ductwork & Corrosion Resistant Ductwork
National Systems Garage Ventilation,CFM Company,"Carbon Monoxide Exhaust Systems, Vehicle Exhaust Systems, Welding Fume Exhaust Arms, Welding Hoods"
Nordfab Ducting,CFM Company,"High Pressure Duct & Fittings, Duct Control Accessories, Quick Clamps Duct"
PCI Paragon Controls Inc,CFM Company,Airglow & Pressure Measurement Control Devices
Plasticair,CFM Company,"AMCA Certified FRP Fans, Perchloric Acid Exhaust Systems Scrubber Fume Hoods for Heavy Acid & Perchloric Acid Usage, High Efficiency Wet Scrubbers &Mist Eliminators"
Powered Aire,CFM Company,"Air Curtains with Electric Heat, Hot Water Heat, Indirect Gas Heat, Unheated & Controls"
Price Industries,CFM Company,"Grilles, Registers, Diffusers, Linear Diffusers, Architectural Slot Diffusers, Terminal Units –VAV Boxes & Fan Powered Boxes, Air Quality Diffusers, Under Floor Distribution System, Displacement Air Systems, Security Products, Fan Coil Units, Sound Attenuators, Chilled Beams/Chilled Sails, Venture Valves, Lab & Fume Hood Controls, Controls/Displays/Sensors"
Puroflux,CFM Company,"Separators, Sand Filters"
Qmark,CFM Company,Electric Resistance Comfort Heating
Company,CFM Company,Products
Raymon-Donco,CFM Company,"Products, Electric Infrared Heat, Electric Radiant Panels<br>Light Troffers & Square to Rounds"
Roberts – Gordon Inc RPS Roof Product Systems,CFM Company,"CoRay-Vac, Gas Fired Infrared Tube Heaters & Gas Fired Unit Heaters<br>Roof Curbs, Equipment Supports, Duct & PipeSupports, Pipe Portals"
Runtal Radiator,CFM Company,"Hot Water Radiators (Perimeter, Specialty, Wall, Convective, Vertical, Ceiling, Column, & Omni Panel)"
Samsung,CFM Company,"Ductless & Variable Refrigerant Volume Flow (VFR) Systems, Air-Conditioning & Heating Technology, Water or Air-Cooled Heat Recovery Systems, Advance Systems Controllers"
Selkirk,CFM Company,"PS (Positive Pressure Stack Systems), Grease Duct, & Diesel Exhaust Flue, Zero Clearance Flue & AL 29-4C Stainless Steel Flue"
Semco Mfg Inc,CFM Company,"Single & Double Wall Round & Oval Spiral Pipe/Duct, Acoustic Sound Enclosure Panels, Sound Attenuators"
Smardt,CFM Company,"Magnetic Bearing Chillers – Water Cooled, Air Cooled, Evaporative Condensing Remote Condensers, Heat Recovery Chillers"
SolutionAir – by Price Industries,CFM Company,"Precision Environmental Control Units, Energy Recovery, Air Handling Units (Direct & Indirect Fired Make-Up Air), DX Cooling, Thermoshield"
Steril-Aire,CFM Company,UVC Emitters
Technical Systems Inc TSI Division of RAECorporation,CFM Company,"Air Cooled Condensing Units, Air Cooled Condensers, Air Cooled Water Chillers, Packaged Water Chillers, Hydronic Coils, Fluid Coolers, Condensing Units"
Temtrol Inc,CFM Company,"Central Station Units, Custom Air Handling Units, Penthouse Air HandlingUnits, Hydronic Coils, Fanwall Technology"
Thermaduct,CFM Company,"Exterior Insulated Ductwork, Indoor Round & Oval Ductwork"
Venmar,CFM Company,"Air to Air Heat Exchangers, Energy Recovery Units, Heat Recovery Units, Heat Pipes, Custom DX Air Handling Units, Gas Fired Air Handling Units, Pool Dehumidification Units, Fanwall Technology"
Vent Products Co Inc,CFM Company,"Backdraft & Control Dampers, Louvres, Louvred Penthouses, Gravity Hoods"
Ventrol,CFM Company,"Custom Handling Units, Knock Down (Field Re- Assembled) Air Handling Units, FanwallTechnology"
The VMC Group,CFM Company,"Vibration Isolation, Vibration Control, Seismic Restraints, Floating Floors"
Water Furnace,CFM Company,"Geo-Thermal Heat Pump Systems, Extended Range Commercial HeatPumps"
Weternaire/Westaire,CFM Company,"Custom Make-Up Air Units, Indirect/Direct Custom Air HandlingUnits"
Whalen Company,CFM Company,"Hi-Rise Vertical Stacked Fan Coil Units, Hi-Rise Vertical Stacked Heat Pumps"
Young Regulator,CFM Company,"Dampers, Concealed Regulators (Bowden Cable System)"
Zehnder Rittling,CFM Company,"Direct Driven Fan Coil Units, Belt Driven Fan Coil Units & Hi-Rise Fan Coil Units, Finned Tube Radiation/Baseboard, Convectors, Cabinet Unit Heaters, Unit Heaters, Radiant Ceiling – Heating & Cooling Panels"
Acudor,Colorado Springs Winair,Access Doors & fire rated
Avery Tape,Colorado Springs Winair,181UL approved & weather resistant tape
Broan,Colorado Springs Winair,"Commercial & Residential Exhaust Fans, Energy Recovery Ventilators, and KitchenHoods"
Certainteed,Colorado Springs Winair,"Duct Liner, Duct Wrap, Insulation"
Champion Coolers,Colorado Springs Winair,Residential and CommercialEvaporativeCoolers & Accessories
Comfort-Aire,Colorado Springs Winair,Room A/C and H/P Thru-the-Wall & PTAC's
Cozy,Colorado Springs Winair,Gas Fired Space Heating Top Vent or DirectVent
Custom Curb,Colorado Springs Winair,Custom Curbs Built to Order
Diversitech,Colorado Springs Winair,Condensor Pads (Ultra-Lite). CondensatePumps & manyaccessories
Ductmate,Colorado Springs Winair,Commercial Duct Connector
Duro Dyne,Colorado Springs Winair,"Duct Connector and Sealants, Turning Vane"
Fantech,Colorado Springs Winair,Inline High Velocity Fans (Residential &Commercial)
Field Controls,Colorado Springs Winair,Specialized Venters & Dampers
Fieldpiece First Company,Colorado Springs Winair,Testing Equipment
Brand/Manufacturer,Colorado Springs Winair,Products/Services
Flowaire Fans,Colorado Springs Winair,Commercial Fans & Kitchen Hoods
Friedrich,Colorado Springs Winair,Mini-Split A/C & H/P Systems Room Thru-the-Wall A/C and H/P
Geocell,Colorado Springs Winair,Silicone and Sealants
Glasfloss,Colorado Springs Winair,Poly & Pleated Filters
Hardcast,Colorado Springs Winair,Duct Sealant 181 UL – Residential &Commercial
Hart & Cooley,Colorado Springs Winair,"Registers, Residential and Commercial &FlexR-6 & R-8 Ratings"
JMF,Colorado Springs Winair,Line Sets and Copper Fittings
Magic-Aire,Colorado Springs Winair,Chilled Water to Expansion Air Blower Units to25Tons
Malco,Colorado Springs Winair,"Tools and Fasteners, Grooving Tools"
Markel,Colorado Springs Winair,Electric Wall Heaters and Baseboard Heaters
Mars,Colorado Springs Winair,Air Curtains
"Metal-Fab, Inc.",Colorado Springs Winair,"Type A & B vent, chimney liners, Big B vent, firedampers, Stainless steel commercialvent"
Nutech-Lifebreath,Colorado Springs Winair,Energy Recovery Ventilators & AirCleaners99% efficiency
Penn Barry Fans,Colorado Springs Winair,Commercial exhaust and supply fans
Reflectixs,Colorado Springs Winair,Thermo Duct Wrap
Reznor,Colorado Springs Winair,"Engineered Products - Direct and Indirect Fired Make-up Air Units, Unit Heaters &Tube Heaters"
Rinnia,Colorado Springs Winair,"Furnaces, water heaters and fireplaces."
Samsung,Colorado Springs Winair,Mini Splits
Sanyo - Panasonic,Colorado Springs Winair,Mini splits
Skuttle,Colorado Springs Winair,"Flow thru, Under duct, steam and self-containedsteam humidifiers"
Snappy,Colorado Springs Winair,"Sheetmetal Ductwork and Air Distribution Products, All Gauges, and Spiral Pipe andFittings"
Suncourt,Colorado Springs Winair,Duct Fans
Tamarack,Colorado Springs Winair,Specialized whole house fans
Tinknocker,Colorado Springs Winair,Sheetmetal Equipment
Tuttle & Bailey,Colorado Springs Winair,"Commercial Registers, Fan coils, boxes & VaVs"
United Enertech,Colorado Springs Winair,"Louvers, motorized dampers, control dampers,fire dampers, & fire/smoke dampers"
Warren Heaters,Colorado Springs Winair,Specialized electric heaters
Western Vent,Colorado Springs Winair,"Relief Hoods, Curb & Custom Roof Supports"
Zone First,Colorado Springs Winair,"Duct zoning, dampers, boards and controls"
Advanced Distributor Products,Comfort Air Distributing Company,"Air Coils, Air Handling Units, AirHandling Units with Coils, Gas Fired Unit Heaters"
Aprilaire,Comfort Air Distributing Company,"Humidifiers, Ventilation, Zoning Dampers, Thermostats"
Aerys Enterprise Solutions,Comfort Air Distributing Company,Air Purification
Berry Global,Comfort Air Distributing Company,HVAC Tapes
Broan,Comfort Air Distributing Company,"Bath Fans, Centrifugal Fans, Heat Recovery (HRV's), Energy Recovery (ERV's), HEPA filters"
Bosch,Comfort Air Distributing Company,"Ductless Mini Split, Furnace, Air Handlers and Condensing Units"
